GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C7L001,C9C001,C9C002,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C9E001,C9E002,C9E003,C9E004,C9E005,C67001,C67002,C67003,C67004,C67005,C67006,C67007,C67008,C67009,C67010,C67011,C67012,C67013,C67014,C67015,C67016,C67017,C67018,C67019,C67020,C67021,C67022,C67023,C67024,C67025,C67026,C68001,C68002,C68003,C68004,C68005,C68006,C68007,C68008,C68009,C68010,C68011,C68012,C68013,C68014,C68015,C68016,C68017,C68018,C68019,C68020,C68021,C68022,C68023,C68024,C68025,C68026,C68027,C68028,C68029,C68030,C68031,C68032,C68033,C68034,C68035,C68036,C68037,C68038,C68039,C68040,C68041,C68042,C68043,C68044,C68045,C68046,C68047,C68048,C68049,C68050,C68051,C68052
"G0900010","1980","N","1","1","Connecticut","09",,"Fairfield","001",,,,,,,,,,,,,"A",,,,,,,,"FAIRFIELD COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",807143,386933,420210,713616,66155,851,17,9,602,1701,634,544,1851,614,47,9,4,20489,762031,1328,29527,2624,11633,9570,18264,18552,9626,9602,34320,54399,14921,16017,16306,15897,13486,12620,12466,12179,37097,57765,59894,103707,98162,48784,17812,23577,56194,26941,8985,4795,9234,9388,4955,5045,17521,27842,7610,8116,8249,8029,6878,6272,6063,5833,18196,28476,28426,49253,47655,23499,8509,10963,24388,9248,2490,4775,9030,9164,4671,4557,16799,26557,7311,7901,8057,7868,6608,6348,6403,6346,18901,29289,31468,54454,50507,25285,9303,12614,31806,17693,6495
"G0900030","1980","N","1","1","Connecticut","09",,"Hartford","003",,,,,,,,,,,,,"C",,,,,,,,"HARTFORD COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",807766,386895,420871,708879,66350,897,15,9,329,1027,584,522,1496,638,35,16,29,26940,766360,957,32776,1589,6084,9914,18548,18308,9354,9460,33559,50865,14094,14928,15402,15380,14392,14707,14027,14144,43520,66219,62237,93298,89504,48307,17448,23930,57192,29363,9666,5149,9579,9300,4856,4790,17174,25856,7177,7560,7793,7824,7218,7226,6757,6844,21335,32379,30011,45142,42877,23021,8258,11205,24603,10159,2802,4765,8969,9008,4498,4670,16385,25009,6917,7368,7609,7556,7174,7481,7270,7300,22185,33840,32226,48156,46627,25286,9190,12725,32589,19204,6864
"G0900050","1980","N","1","1","Connecticut","09",,"Litchfield","005",,,,,,,,,,,,,"01",,,,,,,,"LITCHFIELD COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",156769,76005,80764,154442,1233,214,6,1,49,87,63,124,64,89,6,3,1,387,155640,166,335,115,513,1897,3667,3727,1881,1858,7125,10736,2890,3022,3049,2791,2375,2180,2095,2056,7006,12163,13110,19550,16340,8663,3233,4843,12510,6062,1940,971,1829,1870,948,939,3689,5483,1506,1539,1543,1418,1250,1110,1046,1030,3443,5977,6493,9708,8058,4141,1515,2185,5519,2258,537,926,1838,1857,933,919,3436,5253,1384,1483,1506,1373,1125,1070,1049,1026,3563,6186,6617,9842,8282,4522,1718,2658,6991,3804,1403
"G0900070","1980","N","1","1","Connecticut","09",,"Middlesex","007",,,,,,,,,,,,,"02",,,,,,,,"MIDDLESEX COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",129017,63033,65984,122723,4810,179,1,4,87,111,42,79,119,52,13,10,6,781,127221,151,976,108,561,1606,2953,2896,1514,1516,5483,8197,2291,2486,2480,2326,2289,2313,2105,2095,6440,11084,11162,16176,13241,6775,2635,3728,9163,4601,1462,814,1497,1498,761,773,2830,4193,1205,1359,1273,1169,1194,1139,1068,1065,3278,5424,5536,8083,6580,3187,1237,1742,4085,1656,387,792,1456,1398,753,743,2653,4004,1086,1127,1207,1157,1095,1174,1037,1030,3162,5660,5626,8093,6661,3588,1398,1986,5078,2945,1075
"G0900090","1980","N","1","1","Connecticut","09",,"New Haven","009",,,,,,,,,,,,,"B",,,,,,,,"NEW HAVEN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",761337,362966,398371,673877,67488,1125,12,6,521,1280,468,582,1005,284,46,13,19,14611,734024,1081,20416,894,4922,9811,18008,17871,9077,8774,31454,48000,13121,13389,13744,13705,13597,14276,13737,14003,40771,62957,59606,84569,78741,44616,16858,23860,57977,29309,9506,5139,9154,9160,4760,4509,16049,24444,6651,6679,7047,6920,6863,7013,6720,6727,19804,30637,28866,40976,37369,21104,7723,10930,24499,10299,2924,4672,8854,8711,4317,4265,15405,23556,6470,6710,6697,6785,6734,7263,7017,7276,20967,32320,30740,43593,41372,23512,9135,12930,33478,19010,6582
"G0900110","1980","N","1","1","Connecticut","09",,"New London","011",,,,,,,,,,,,,"02",,,,,,,,"NEW LONDON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",238409,120290,118119,224208,8953,793,6,1,167,255,1276,113,210,51,21,37,4,2314,233741,585,2356,162,1565,3543,6530,6148,3093,2944,10242,15257,4218,4426,4381,4585,4790,5339,5314,5365,14768,21202,18483,27160,23508,12108,4541,6062,14759,7313,2330,1883,3327,3136,1560,1511,5221,7748,2163,2228,2297,2446,2636,3080,3085,3140,8289,11288,9447,13698,11606,5775,2164,2802,6447,2647,666,1660,3203,3012,1533,1433,5021,7509,2055,2198,2084,2139,2154,2259,2229,2225,6479,9914,9036,13462,11902,6333,2377,3260,8312,4666,1664
"G0900130","1980","N","1","1","Connecticut","09",,"Tolland","013",,,,,,,,,,,,,"02",,,,,,,,"TOLLAND COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",114823,57297,57526,111649,1799,114,7,4,80,187,46,118,205,59,9,1,1,544,113834,82,434,79,394,1450,2784,2745,1409,1432,4973,7360,1913,2050,2036,2019,3080,3560,3753,3957,7131,10281,10243,14562,10755,4788,1727,2295,5352,2452,716,721,1367,1386,738,754,2548,3683,947,1074,1024,1052,1480,1762,1837,2031,3732,5267,5142,7461,5444,2358,862,1115,2412,891,209,729,1417,1359,671,678,2425,3677,966,976,1012,967,1600,1798,1916,1926,3399,5014,5101,7101,5311,2430,865,1180,2940,1561,507
"G0900150","1980","N","1","1","Connecticut","09",,"Windham","015",,,,,,,,,,,,,"02",,,,,,,,"WINDHAM COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",92312,44586,47726,90026,645,258,4,0,29,43,19,34,45,38,0,12,5,1154,90226,125,1541,39,381,1370,2569,2457,1285,1260,4517,6347,1674,1762,1801,1708,1843,1846,1733,1743,4877,7589,7138,10280,8650,4671,1735,2386,6570,3377,1124,700,1316,1266,644,654,2279,3218,856,942,928,871,909,865,835,800,2404,3734,3498,5136,4274,2200,794,1074,2865,1226,298,670,1253,1191,641,606,2238,3129,818,820,873,837,934,981,898,943,2473,3855,3640,5144,4376,2471,941,1312,3705,2151,826
"G1000010","1980","A","3","5","Delaware","10",,"Kent","001",,,,,,,,,,,,,"01",,,,,,,,"KENT COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",98219,48254,49965,78258,17759,316,1,1,146,148,284,123,83,38,22,19,2,1019,96490,432,602,57,638,1703,3224,2993,1483,1418,4962,6692,1846,1917,1907,2004,2116,2233,2325,2235,5905,8335,7764,11739,9427,4080,1431,1988,5044,2540,908,905,1623,1560,762,719,2525,3417,939,937,1008,974,1080,1187,1189,1195,2976,4050,3833,5748,4671,1898,699,930,2243,938,248,798,1601,1433,721,699,2437,3275,907,980,899,1030,1036,1046,1136,1040,2929,4285,3931,5991,4756,2182,732,1058,2801,1602,660
"G1000030","1980","A","3","5","Delaware","10","9160","New Castle","003",,,,,,,,"77",,,,,"A",,,,,,,,"NEW CASTLE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",398115,191176,206939,330826,60116,417,9,7,235,807,414,311,890,153,38,15,4,3873,391007,834,3945,502,1827,5801,10704,10102,5111,4895,17347,25305,6998,7390,7856,7841,8597,9091,8611,8567,22774,33854,30703,46039,43404,21956,7743,9986,23296,10919,3225,3005,5438,5136,2578,2525,8837,12815,3661,3750,3972,3968,4088,4208,4034,3994,11142,16531,14843,22327,21048,10478,3664,4721,9812,3719,882,2796,5266,4966,2533,2370,8510,12490,3337,3640,3884,3873,4509,4883,4577,4573,11632,17323,15860,23712,22356,11478,4079,5265,13484,7200,2343
"G1000050","1980","A","3","5","Delaware","10",,"Sussex","005",,,,,,,,,,,,,"01",,,,,,,,"SUSSEX COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",98004,47169,50835,78733,17970,574,3,0,40,43,115,56,98,14,5,9,0,344,97180,271,254,37,262,1447,2621,2556,1235,1231,4394,6348,1681,1855,1898,1830,1631,1582,1516,1472,4718,7433,6947,10490,10379,5811,2382,3300,8290,3821,1136,722,1331,1264,615,608,2272,3224,839,965,940,912,847,736,754,708,2347,3661,3468,5153,4927,2675,1162,1565,3734,1441,299,725,1290,1292,620,623,2122,3124,842,890,958,918,784,846,762,764,2371,3772,3479,5337,5452,3136,1220,1735,4556,2380,837
"G1100010","1980","F","3","5","District Of Columbia","11","8840","District Of Columbia","001",,,,,,,,,,,,,"A",,,,,,,,"DISTRICT OF COLUMBIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",638333,295417,342916,171768,448906,996,19,16,752,2476,1297,338,950,505,237,66,15,9992,620654,3132,1430,975,12142,7472,13741,13152,6588,6572,23458,33064,9069,9593,10274,10508,12648,14601,13938,13997,41628,66343,56209,74265,63341,34093,12537,16955,46230,21672,6385,3779,6924,6582,3338,3402,11945,16534,4605,4732,5136,5233,6102,6761,6643,6489,19146,31205,26805,35695,29270,15209,5597,7054,18361,7169,1701,3693,6817,6570,3250,3170,11513,16530,4464,4861,5138,5275,6546,7840,7295,7508,22482,35138,29404,38570,34071,18884,6940,9901,27869,14503,4684
"G1200010","1980","A","3","5","Florida","12","2900","Alachua","001",,,,,,,,,,,,,"03",,,,,,,,"ALACHUA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",151348,75784,75564,119205,28875,259,3,14,206,473,129,112,357,292,30,8,10,1375,146441,524,713,1254,2416,2143,3951,3625,1801,1744,5769,7728,1962,2130,2220,2364,4876,6489,7030,6871,14785,17459,12746,14521,10775,5308,1855,2449,6812,3104,831,1107,2021,1862,907,865,2950,3962,983,1073,1172,1208,2396,3236,3625,3765,7870,9069,6512,7107,5195,2419,895,1151,2988,1186,260,1036,1930,1763,894,879,2819,3766,979,1057,1048,1156,2480,3253,3405,3106,6915,8390,6234,7414,5580,2889,960,1298,3824,1918,571
"G1200030","1980","A","3","5","Florida","12","3600","Baker","003",,,,,,,,,,,,,"03",,,,,,,,"BAKER COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",15289,7785,7504,12891,2333,23,1,0,3,1,8,3,1,0,2,0,0,23,15105,93,5,30,56,274,513,483,274,267,862,1155,321,283,311,281,295,294,274,277,903,1244,1163,1859,1505,603,195,313,860,372,108,151,252,256,147,144,436,580,171,149,156,140,162,153,144,155,525,651,587,945,744,316,90,143,403,138,47,123,261,227,127,123,426,575,150,134,155,141,133,141,130,122,378,593,576,914,761,287,105,170,457,234,61
"G1200050","1980","A","3","5","Florida","12","6015","Bay","005",,,,,,,,,,,,,"01",,,,,,,,"BAY COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",97740,48044,49696,83799,11681,420,1,2,141,71,262,93,26,439,26,7,0,772,96203,474,231,83,749,1564,2796,2798,1475,1422,4915,6162,1638,1882,1855,1944,1872,1986,1967,1871,5580,8141,7263,11511,10505,5068,1832,2436,6264,2383,610,797,1441,1468,767,712,2548,3172,852,969,938,1037,934,1032,1058,920,2786,4145,3614,5501,5079,2329,880,1143,2795,946,181,767,1355,1330,708,710,2367,2990,786,913,917,907,938,954,909,951,2794,3996,3649,6010,5426,2739,952,1293,3469,1437,429
"G1200070","1980","A","3","5","Florida","12",,"Bradford","007",,,,,,,,,,,,,"02",,,,,,,,"BRADFORD COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",20023,10717,9306,15747,4077,35,0,0,5,15,2,6,19,6,2,3,1,105,19770,102,45,27,79,296,571,574,296,290,959,1294,294,373,376,340,331,303,316,308,1054,1896,1580,2494,2096,1017,389,491,1349,596,140,152,273,301,160,154,500,672,161,182,190,156,174,147,158,171,622,1189,947,1424,1104,510,214,229,620,266,41,144,298,273,136,136,459,622,133,191,186,184,157,156,158,137,432,707,633,1070,992,507,175,262,729,330,99
"G1200090","1980","A","3","5","Florida","12","4900","Brevard","009",,,,,,,,,,,,,"04",,,,,,,,"BREVARD COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",272959,134937,138022,245223,23832,581,6,1,286,333,351,215,323,157,53,16,5,1577,267623,964,1239,760,2373,3220,5944,5624,2914,3051,10728,15966,4583,5154,5321,5529,5221,5286,4978,4738,14438,19398,16960,31689,33294,18048,6807,9402,23877,8678,2111,1636,2972,2861,1484,1557,5435,8150,2374,2765,2746,2826,2776,2751,2671,2569,7644,10244,8237,15064,16182,8428,3313,4548,11378,3635,691,1584,2972,2763,1430,1494,5293,7816,2209,2389,2575,2703,2445,2535,2307,2169,6794,9154,8723,16625,17112,9620,3494,4854,12499,5043,1420
"G1200110","1980","A","3","5","Florida","12","2680","Broward","011",,,,,,,,"56",,,,,"G",,,,,,,,"BROWARD COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1018200,483557,534643,892085,113608,1350,25,12,489,1817,619,339,1154,353,93,42,27,6187,977885,3285,9180,12144,15706,10729,19645,19482,10147,10185,35758,50979,13429,14325,14938,14613,13633,13667,14016,13981,46126,76265,72356,107194,98688,58289,24948,41125,144601,67217,11864,5432,9877,10058,5188,5155,18284,25832,6778,7353,7550,7382,6810,6589,6709,6740,22407,37749,35952,53154,46723,25451,10470,17384,63531,30244,4755,5297,9768,9424,4959,5030,17474,25147,6651,6972,7388,7231,6823,7078,7307,7241,23719,38516,36404,54040,51965,32838,14478,23741,81070,36973,7109
"G1200130","1980","A","3","5","Florida","12",,"Calhoun","013",,,,,,,,,,,,,"01",,,,,,,,"CALHOUN COUNTY","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1",9294,4440,4854,8058,1132,88,0,0,3,0,1,0,0,0,0,1,0,11,9253,14,1,6,20,155,279,281,175,108,439,673,192,161,209,179,134,152,153,129,375,614,565,1024,908,465,182,317,906,409,110,76,138,144,85,50,214,361,92,88,98,86,70,81,60,56,183,303,274,493,432,209,81,162,409,164,31,79,141,137,90,58,225,312,100,73,111,93,64,71,93,73,192,311,291,531,476,256,101,155,497,245,79
"G1200150","1980","A","3","5","Florida","12",,"Charlotte","015",,,,,,,,,,,,,"06",,,,,,,,"CHARLOTTE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",58460,27462,30998,56802,1115,66,0,0,38,59,93,26,57,24,1,3,3,173,57773,83,170,152,282,431,848,792,420,420,1496,2140,619,722,714,653,583,547,526,478,1522,2513,2377,4163,5261,4686,2354,4340,13465,5403,987,218,429,403,220,188,762,1098,301,409,368,342,268,277,271,244,772,1220,1147,1940,2328,1911,1022,1946,6454,2557,367,213,419,389,200,232,734,1042,318,313,346,311,315,270,255,234,750,1293,1230,2223,2933,2775,1332,2394,7011,2846,620
"G1200170","1980","A","3","5","Florida","12",,"Citrus","017",,,,,,,,,,,,,"05",,,,,,,,"CITRUS COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",54703,26261,28442,52617,1769,72,0,1,25,7,36,10,24,12,3,4,1,122,53938,87,263,77,338,507,914,871,464,479,1726,2426,744,820,775,682,618,541,501,493,1534,2526,2477,4439,5290,4448,2025,3533,11200,3906,764,269,488,481,248,237,893,1255,365,420,406,371,309,248,245,224,693,1258,1191,2125,2323,1913,864,1591,5645,1907,292,238,426,390,216,242,833,1171,379,400,369,311,309,293,256,269,841,1268,1286,2314,2967,2535,1161,1942,5555,1999,472
"G1200190","1980","A","3","5","Florida","12","3600","Clay","019",,,,,,,,,,,,,"02",,,,,,,,"CLAY COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",67052,32967,34085,62677,3470,116,1,1,66,31,363,41,35,14,12,22,1,202,65920,250,239,136,507,998,1905,2000,1078,1029,4046,5621,1418,1591,1548,1495,1193,1106,933,898,2637,4857,6097,10210,6606,2838,842,1175,2951,1469,511,519,944,996,502,526,2075,2904,708,811,809,783,622,540,468,453,1283,2314,2822,5008,3409,1421,397,552,1320,600,181,479,961,1004,576,503,1971,2717,710,780,739,712,571,566,465,445,1354,2543,3275,5202,3197,1417,445,623,1631,869,330
"G1200210","1980","A","3","5","Florida","12",,"Collier","021",,,,,,,,,,,,,"06",,,,,,,,"COLLIER COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",85971,42663,43308,74661,4550,172,2,0,18,55,14,13,24,56,6,7,3,6390,76716,6310,730,1198,1017,1159,1891,1935,909,908,3268,4577,1227,1335,1325,1335,1263,1217,1220,1219,3714,6113,5364,8806,8464,5760,2501,4071,11715,3984,691,592,1011,994,494,475,1627,2324,602,678,683,700,676,615,635,611,1895,3192,2727,4412,4039,2587,1159,1907,5793,1960,275,567,880,941,415,433,1641,2253,625,657,642,635,587,602,585,608,1819,2921,2637,4394,4425,3173,1342,2164,5922,2024,416
"G1200230","1980","A","3","5","Florida","12",,"Columbia","023",,,,,,,,,,,,,"03",,,,,,,,"COLUMBIA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",35399,17325,18074,28340,6841,45,1,0,20,9,22,4,39,19,18,0,5,36,35032,99,35,81,152,652,1165,1113,610,577,1791,2481,645,677,703,700,654,689,652,613,1758,2672,2588,4106,3569,1828,627,934,2309,1018,268,325,639,564,319,303,907,1252,334,340,356,333,297,359,322,305,834,1317,1214,2026,1760,870,306,468,1056,404,115,327,526,549,291,274,884,1229,311,337,347,367,357,330,330,308,924,1355,1374,2080,1809,958,321,466,1253,614,153
"G1200250","1980","A","3","5","Florida","12","5000","Dade","025",,,,,,,,"56",,,,,"C",,,,,,,,"DADE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1625781,767882,857899,1262275,280434,1660,34,33,817,5373,1735,686,2651,712,186,82,22,69081,1044787,13238,44656,407253,115847,20425,36847,37279,18993,19078,63520,87286,24318,26089,27553,28609,26800,27485,26884,26193,80403,126251,114545,192847,187495,91009,33853,46733,149550,85624,20112,10521,18895,19013,9776,9827,32412,44426,12515,13232,13804,14431,13285,13433,13040,12706,39121,60428,54396,91545,89581,42118,15263,20462,61660,34173,7819,9904,17952,18266,9217,9251,31108,42860,11803,12857,13749,14178,13515,14052,13844,13487,41282,65823,60149,101302,97914,48891,18590,26271,87890,51451,12293
"G1200270","1980","A","3","5","Florida","12",,"DeSoto","027",,,,,,,,,,,,,"05",,,,,,,,"DE SOTO COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",19039,9517,9522,15155,3557,33,0,0,9,1,23,3,9,8,2,0,0,239,18429,375,59,67,109,275,474,471,261,291,855,1164,344,345,351,344,321,354,317,325,1030,1353,1213,1947,1813,1029,441,632,2005,849,235,127,222,238,134,155,440,583,175,162,191,173,186,206,186,207,634,742,573,960,839,475,203,270,964,386,86,148,252,233,127,136,415,581,169,183,160,171,135,148,131,118,396,611,640,987,974,554,238,362,1041,463,149
"G1200290","1980","A","3","5","Florida","12",,"Dixie","029",,,,,,,,,,,,,"02",,,,,,,,"DIXIE COUNTY","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",7751,3998,3753,6823,899,17,0,0,4,0,0,0,0,0,0,0,0,8,7683,25,4,8,31,113,248,188,93,114,347,547,146,145,145,161,130,147,122,102,328,581,543,933,785,415,203,278,641,247,49,56,120,92,50,58,175,292,70,67,86,92,70,88,72,46,173,317,290,499,392,206,95,137,321,112,22,57,128,96,43,56,172,255,76,78,59,69,60,59,50,56,155,264,253,434,393,209,108,141,320,135,27
"G1200310","1980","B","3","5","Florida","12","3600","Duval","031",,,,,,,,,,,,,"A",,,,,,,,"DUVAL COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",571003,275049,295954,420718,140561,1240,7,12,405,507,3840,255,382,346,120,47,19,2544,560521,2651,1563,1525,4743,9291,17298,16589,8200,8261,28006,35751,9196,10167,10328,10241,10031,10923,11538,11447,35397,53403,45654,62995,57297,29437,10550,13840,34894,15862,4407,4744,8661,8462,4163,4192,14214,18326,4754,5107,5194,5186,5013,5517,5963,5962,17833,26127,22465,30265,27048,13771,4851,6267,14393,5406,1165,4547,8637,8127,4037,4069,13792,17425,4442,5060,5134,5055,5018,5406,5575,5485,17564,27276,23189,32730,30249,15666,5699,7573,20501,10456,3242
"G1200330","1980","A","3","5","Florida","12","6080","Escambia","033",,,,,,,,,,,,,"D",,,,,,,,"ESCAMBIA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",233794,113922,119872,181637,45945,1868,5,3,221,244,1431,109,112,789,75,41,14,1300,229907,1271,437,247,1932,3847,6831,6583,3292,3243,11179,14942,3957,4408,4480,4680,4948,5275,5054,4788,14982,20280,17430,26597,24409,12050,4285,5507,13470,5767,1510,2009,3476,3351,1739,1698,5689,7583,2053,2217,2273,2409,2572,2689,2532,2446,7913,10223,8526,12698,11476,5654,1953,2559,5765,1997,422,1838,3355,3232,1553,1545,5490,7359,1904,2191,2207,2271,2376,2586,2522,2342,7069,10057,8904,13899,12933,6396,2332,2948,7705,3770,1088
"G1200350","1980","A","3","5","Florida","12",,"Flagler","035",,,,,,,,,,,,,"04",,,,,,,,"FLAGLER COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1",10913,5297,5616,9552,1303,6,0,0,3,4,14,4,4,0,0,0,0,23,10725,38,30,32,88,124,249,242,126,111,429,569,153,157,164,160,144,147,141,116,414,692,597,971,1097,983,430,694,1507,410,86,63,126,112,73,59,218,290,91,79,84,86,83,64,65,53,194,351,273,479,497,393,198,346,811,183,26,61,123,130,53,52,211,279,62,78,80,74,61,83,76,63,220,341,324,492,600,590,232,348,696,227,60
"G1200370","1980","A","3","5","Florida","12",,"Franklin","037",,,,,,,,,,,,,"01",,,,,,,,"FRANKLIN COUNTY","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1",7661,3753,3908,6530,1098,17,0,0,1,4,0,1,2,0,0,0,0,8,7591,41,1,0,28,141,213,215,117,93,373,502,150,191,184,173,143,114,107,126,318,488,457,876,724,398,179,234,684,381,80,68,111,112,61,53,181,244,86,106,107,99,65,56,56,62,163,246,212,425,376,194,80,108,320,140,22,73,102,103,56,40,192,258,64,85,77,74,78,58,51,64,155,242,245,451,348,204,99,126,364,241,58
"G1200390","1980","A","3","5","Florida","12",,"Gadsden","039",,,,,,,,,,,,,"03",,,,,,,,"GADSDEN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",41565,19614,21951,16437,24930,27,0,0,14,17,33,2,14,26,6,0,0,59,40936,435,20,53,121,776,1407,1415,733,683,2372,3099,782,882,858,966,754,754,710,662,2054,3318,2682,4022,3892,1906,791,1022,3061,1529,435,401,733,688,389,350,1180,1585,386,439,458,487,376,358,333,307,993,1644,1298,1853,1700,848,347,465,1335,550,111,375,674,727,344,333,1192,1514,396,443,400,479,378,396,377,355,1061,1674,1384,2169,2192,1058,444,557,1726,979,324
"G1200410","1980","A","3","5","Florida","12",,"Gilchrist","041",,,,,,,,,,,,,"03",,,,,,,,"GILCHRIST COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","1","1",5767,2883,2884,5388,364,8,0,0,0,0,0,0,4,0,0,0,0,3,5710,19,3,6,29,81,152,161,82,69,279,390,123,138,147,145,111,129,91,72,260,350,355,734,644,296,130,194,423,183,28,35,79,84,35,35,140,208,69,71,80,76,53,82,48,43,123,177,177,351,317,146,66,95,197,86,10,46,73,77,47,34,139,182,54,67,67,69,58,47,43,29,137,173,178,383,327,150,64,99,226,97,18
"G1200430","1980","A","3","5","Florida","12",,"Glades","043",,,,,,,,,,,,,"06",,,,,,,,"GLADES COUNTY","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0",5992,2956,3036,4761,810,336,0,0,2,2,0,0,3,0,0,0,0,78,5764,100,45,54,29,90,163,198,83,73,286,363,104,113,115,107,81,90,85,84,222,374,333,604,706,413,163,261,612,232,37,45,78,95,41,39,133,189,52,50,61,43,47,54,42,38,107,185,151,295,352,208,75,136,310,118,12,45,85,103,42,34,153,174,52,63,54,64,34,36,43,46,115,189,182,309,354,205,88,125,302,114,25
"G1200450","1980","A","3","5","Florida","12",,"Gulf","045",,,,,,,,,,,,,"01",,,,,,,,"GULF COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1",10658,5255,5403,8456,2139,28,0,0,1,3,7,2,6,0,4,0,0,12,10511,101,7,4,35,158,316,335,174,180,560,734,161,239,218,213,191,203,180,170,444,721,628,1179,1293,607,228,317,822,318,69,82,160,169,89,99,288,390,79,129,115,121,99,94,87,66,233,357,300,546,673,281,101,139,386,145,27,76,156,166,85,81,272,344,82,110,103,92,92,109,93,104,211,364,328,633,620,326,127,178,436,173,42
"G1200470","1980","A","3","5","Florida","12",,"Hamilton","047",,,,,,,,,,,,,"03",,,,,,,,"HAMILTON COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0",8761,4171,4590,5419,3309,13,0,3,0,4,9,0,1,0,0,2,0,1,8700,40,2,0,19,147,323,324,182,167,507,697,177,185,179,166,155,146,129,111,433,669,586,860,715,357,145,242,745,316,98,86,169,147,96,88,248,384,85,95,91,84,75,77,57,58,197,310,267,415,335,159,63,125,320,115,25,61,154,177,86,79,259,313,92,90,88,82,80,69,72,53,236,359,319,445,380,198,82,117,425,201,73
